;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB;BC;BD;BE;BF;BG;BH
"AW;0.14;0.83;0.05;0.09;0.04;0.55;0.08;0.09;0.04;0.68;0.86;0.51;0.9;0.08;0.14;0.56;0.08;0.32;0.04;0.86;0.86;0.47;0;0.83;0.86;0.55;0.73;0.47;0.28;0.55;0.55;0.27;0.86;0.41"
"AX;0.69;0;0.77;0.73;0.87;0.27;0.9;0.73;0.87;0.14;0.03;0.31;0.08;0.9;0.69;0.27;0.9;0.51;0.87;0.03;0.03;0.36;0.83;0;0.03;0.27;0.1;0.36;0.55;0.28;0.27;0.55;0.03;0.42"
"AY;0.72;0.03;0.81;0.77;0.9;0.31;0.94;0.77;0.9;0.18;0;0.35;0.04;0.94;0.72;0.3;0.94;0.54;0.9;0;0;0.39;0.86;0.03;0;0.31;0.13;0.39;0.59;0.31;0.31;0.59;0;0.45"
"AZ;0.42;0.27;0.5;0.46;0.59;0;0.63;0.46;0.59;0.13;0.31;0.04;0.35;0.63;0.42;0;0.63;0.24;0.59;0.31;0.31;0.09;0.55;0.27;0.31;0;0.18;0.09;0.28;0;0;0.28;0.31;0.15"
"BA;0.59;0.1;0.68;0.63;0.77;0.18;0.8;0.63;0.77;0.04;0.13;0.22;0.18;0.8;0.59;0.17;0.8;0.41;0.77;0.13;0.13;0.26;0.73;0.1;0.13;0.18;0;0.26;0.45;0.18;0.18;0.46;0.13;0.32"
"BB;0.33;0.36;0.41;0.37;0.51;0.09;0.54;0.37;0.51;0.22;0.39;0.05;0.44;0.54;0.33;0.09;0.54;0.15;0.51;0.39;0.39;0;0.47;0.36;0.39;0.09;0.26;0;0.19;0.08;0.09;0.19;0.39;0.06"
"BC;0.14;0.55;0.22;0.18;0.32;0.28;0.35;0.18;0.32;0.41;0.59;0.24;0.63;0.35;0.14;0.28;0.35;0.04;0.32;0.59;0.59;0.19;0.28;0.55;0.59;0.28;0.45;0.19;0;0.27;0.28;0;0.59;0.13"
"BD;0.41;0.28;0.49;0.45;0.59;0;0.62;0.45;0.59;0.14;0.31;0.04;0.36;0.62;0.41;0.01;0.62;0.23;0.59;0.31;0.31;0.08;0.55;0.28;0.31;0;0.18;0.08;0.27;0;0;0.28;0.31;0.14"
"BE;0.42;0.27;0.5;0.46;0.59;0;0.63;0.46;0.59;0.13;0.31;0.04;0.35;0.63;0.42;0;0.63;0.24;0.59;0.31;0.31;0.09;0.55;0.27;0.31;0;0.18;0.09;0.28;0;0;0.28;0.31;0.15"
"BF;0.14;0.55;0.22;0.18;0.31;0.28;0.35;0.18;0.31;0.41;0.59;0.24;0.63;0.35;0.14;0.28;0.35;0.04;0.31;0.59;0.59;0.19;0.27;0.55;0.59;0.28;0.46;0.19;0;0.28;0.28;0;0.59;0.13"
"BG;0.72;0.03;0.81;0.77;0.9;0.31;0.94;0.77;0.9;0.18;0;0.35;0.04;0.94;0.72;0.3;0.94;0.54;0.9;0;0;0.39;0.86;0.03;0;0.31;0.13;0.39;0.59;0.31;0.31;0.59;0;0.45"
"BH;0.27;0.42;0.35;0.31;0.45;0.15;0.48;0.31;0.45;0.28;0.45;0.1;0.5;0.48;0.27;0.15;0.48;0.09;0.45;0.45;0.45;0.06;0.41;0.42;0.45;0.15;0.32;0.06;0.13;0.14;0.15;0.13;0.45;0"
